   1123 の	助詞,接続助詞,*,*,の,の,*
      9 に	助詞,接続助詞,*,*,に,に,*
      9 ？～	特殊,記号,*,*,*,*,*
      9 of	名詞,組織名,*,*,*,*,*
      9 ;	特殊,記号,*,*,*,*,*
      9 2	名詞,数詞,*,*,*,*,*
      8 譚	名詞,組織名,*,*,*,*,*
      8 録	名詞,普通名詞,*,*,録,ろく,代表表記:録/ろく 漢字読み:音 カテゴリ:抽象物 ドメイン:文化・芸術;メディア
      8 料理	名詞,サ変名詞,*,*,料理,りょうり,代表表記:料理/りょうり カテゴリ:人工物-食べ物;抽象物 ドメイン:料理・食事
      8 龍	名詞,普通名詞,*,*,龍,りゅう,代表表記:竜/りゅう 漢字読み:音 カテゴリ:動物
      8 傭兵	名詞,組織名,*,*,傭兵,ようへい,自動獲得:Wikipedia Wikipedia上位語:集団/しゅうだん
      8 魔導	名詞,普通名詞,*,*,魔導,魔導,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:魔法
      8 普通の	形容詞,*,ナノ形容詞,ダ列特殊連体形,普通だ,ふつうの,代表表記:普通だ/ふつうだ
      8 破壊	名詞,サ変名詞,*,*,破壊,はかい,代表表記:破壊/はかい カテゴリ:抽象物 反義:名詞-サ変名詞:建設/けんせつ
      8 戦い	動詞,*,子音動詞ワ行,基本連用形,戦う,たたかい,代表表記:戦う/たたかう
      8 生きる	動詞,*,母音動詞,基本形,生きる,いきる,代表表記:生きる/いきる ドメイン:健康・医学 自他動詞:他:生かす/いかす
      8 生き	動詞,*,母音動詞,未然形,生きる,いき,代表表記:生きる/いきる ドメイン:健康・医学 自他動詞:他:生かす/いかす
      8 色	名詞,普通名詞,*,*,色,いろ,代表表記:色/いろ 漢字読み:訓 カテゴリ:色
      8 上がる	動詞,*,子音動詞ラ行,基本形,上がる,あがる,代表表記:上がる/あがる 付属動詞候補（基本） 自他動詞:他:上げる/あげる 反義:動詞:下りる/おりる;動詞:降りる/おりる;動詞:降る/ふる
      8 女装	名詞,サ変名詞,*,*,女装,じょそう,代表表記:女装/じょそう カテゴリ:抽象物
      8 女子	名詞,普通名詞,*,*,女子,じょし,代表表記:女子/じょし カテゴリ:人
      8 集	名詞,普通名詞,*,*,集,しゅう,代表表記:集/しゅう 漢字読み:音 カテゴリ:抽象物
      8 七	名詞,数詞,*,*,七,なな,カテゴリ:数量
      8 四	名詞,数詞,*,*,四,よん,カテゴリ:数量
      8 殺し	動詞,*,子音動詞サ行,基本連用形,殺す,ころし,代表表記:殺す/ころす 反義:動詞:生かす/いかす
      8 最強に	形容詞,*,ナノ形容詞,ダ列基本連用形,最強だ,さいきょうに,代表表記:最強だ/さいきょうだ
      8 行く	動詞,*,子音動詞カ行促音便形,基本形,行く,いく,代表表記:行く/いく 付属動詞候補（タ系） ドメイン:交通 反義:動詞:帰る/かえる
      8 軍	名詞,普通名詞,*,*,軍,ぐん,代表表記:軍/ぐん 漢字読み:音 組織名末尾 カテゴリ:組織・団体 ドメイン:政治
      8 気	名詞,普通名詞,*,*,気,き,代表表記:気/き 漢字読み:音 カテゴリ:抽象物
      8 眼	名詞,普通名詞,*,*,眼,がん,代表表記:眼/がん 漢字読み:音 カテゴリ:動物-部位
      8 宇宙	名詞,普通名詞,*,*,宇宙,うちゅう,代表表記:宇宙/うちゅう カテゴリ:場所-自然
      8 ─	特殊,記号,*,*,*,*,*
      8 ヒロイン	名詞,普通名詞,*,*,ヒロイン,ひろいん,代表表記:ヒロイン/ひろいん カテゴリ:人 ドメイン:文化・芸術;メディア
      8 やり	動詞,*,子音動詞ラ行,基本連用形,やる,やり,代表表記:やる/やる 付属動詞候補（タ系）
      8 やって	動詞,*,子音動詞ラ行,タ系連用テ形,やる,やって,代表表記:やる/やる 付属動詞候補（タ系）
      8 のんびり	副詞,*,*,*,のんびり,のんびり,代表表記:ノンビリ/のんびり
      8 の	助動詞,*,ナ形容詞,語幹,のだ,の,*
      8 ちゃん	接尾辞,名詞性名詞接尾辞,*,*,ちゃん,ちゃん,代表表記:ちゃん/ちゃん
      8 いう	動詞,*,子音動詞ワ行,基本形,いう,いう,代表表記:言う/いう 補文ト
      8 あり	動詞,*,子音動詞ラ行,基本連用形,ある,あり,代表表記:有る/ある 補文ト 反義:形容詞:無い/ない
      8 １	名詞,数詞,*,*,１,いち,カテゴリ:数量
      8 ！　～	特殊,記号,*,*,*,*,*
      8 1	名詞,数詞,*,*,*,*,*
      8 &	特殊,記号,*,*,*,*,*
      7 連載	名詞,サ変名詞,*,*,連載,れんさい,代表表記:連載/れんさい カテゴリ:抽象物 ドメイン:文化・芸術;メディア
      7 妖精	名詞,普通名詞,*,*,妖精,ようせい,代表表記:妖精/ようせい カテゴリ:人 ドメイン:文化・芸術
      7 目指し	動詞,*,子音動詞サ行,基本連用形,目指す,めざし,代表表記:目指す/めざす
      7 辺境	名詞,普通名詞,*,*,辺境,へんきょう,代表表記:辺境/へんきょう カテゴリ:場所-その他
      7 文字	名詞,普通名詞,*,*,文字,もじ,代表表記:文字/もじ カテゴリ:抽象物
      7 文化	名詞,普通名詞,*,*,文化,ぶんか,代表表記:文化/ぶんか カテゴリ:抽象物 ドメイン:文化・芸術
      7 復讐	名詞,サ変名詞,*,*,復讐,ふくしゅう,代表表記:復讐/ふくしゅう カテゴリ:抽象物
      7 病	名詞,普通名詞,*,*,病,びょう,代表表記:病/びょう 漢字読み:音 カテゴリ:抽象物 ドメイン:健康・医学
      7 百	名詞,数詞,*,*,百,ひゃく,カテゴリ:数量
      7 箱	名詞,普通名詞,*,*,箱,はこ,代表表記:箱/はこ 漢字読み:訓 カテゴリ:人工物-その他
      7 知識	名詞,普通名詞,*,*,知識,ちしき,代表表記:知識/ちしき カテゴリ:抽象物
      7 探偵	名詞,サ変名詞,*,*,探偵,たんてい,代表表記:探偵/たんてい カテゴリ:人
      7 隊	名詞,普通名詞,*,*,隊,たい,代表表記:隊/たい 漢字読み:音 カテゴリ:組織・団体
      7 双子	名詞,普通名詞,*,*,双子,ふたご,代表表記:双子/ふたご カテゴリ:人
      7 聖剣	名詞,普通名詞,*,*,聖剣,せいけん,自動獲得:Wikipedia Wikipedia上位語:剣/けん
      7 親友	名詞,普通名詞,*,*,親友,しんゆう,代表表記:親友/しんゆう カテゴリ:人 ドメイン:家庭・暮らし
      7 職業	名詞,普通名詞,*,*,職業,しょくぎょう,代表表記:職業/しょくぎょう カテゴリ:抽象物 ドメイン:ビジネス
      7 書	名詞,普通名詞,*,*,書,しょ,代表表記:書/しょ 漢字読み:音 カテゴリ:抽象物
      7 者	名詞,普通名詞,*,*,者,もの,代表表記:者/もの 漢字読み:訓 カテゴリ:人
      7 使え	動詞,*,母音動詞,未然形,使える,つかえ,代表表記:使える/つかえる 可能動詞:使う/つかう
      7 仕事	名詞,サ変名詞,*,*,仕事,しごと,代表表記:仕事/しごと カテゴリ:抽象物 ドメイン:家庭・暮らし;ビジネス
      7 歳	接尾辞,名詞性名詞助数辞,*,*,歳,さい,代表表記:歳/さい 準内容語
      7 言わ	動詞,*,子音動詞ワ行,未然形,言う,いわ,代表表記:言う/いう 補文ト
      7 現代	名詞,普通名詞,*,*,現代,げんだい,代表表記:現代/げんだい カテゴリ:時間
      7 幻	名詞,普通名詞,*,*,幻,まぼろし,代表表記:幻/まぼろし 漢字読み:訓 カテゴリ:抽象物
      7 犬	名詞,普通名詞,*,*,犬,いぬ,代表表記:犬/いぬ 漢字読み:訓 カテゴリ:動物
      7 活動	名詞,サ変名詞,*,*,活動,かつどう,代表表記:活動/かつどう カテゴリ:抽象物
      7 外	名詞,普通名詞,*,*,外,がい,代表表記:外/がい 漢字読み:音 カテゴリ:場所-機能
      7 科学	名詞,普通名詞,*,*,科学,かがく,代表表記:科学/かがく カテゴリ:抽象物 ドメイン:科学・技術
      7 家	接尾辞,名詞性名詞接尾辞,*,*,家,か,代表表記:家/か 内容語 カテゴリ:人
      7 異端	名詞,普通名詞,*,*,異端,いたん,代表表記:異端/いたん カテゴリ:抽象物
      7 ハーレム	名詞,普通名詞,*,*,ハーレム,はーれむ,代表表記:ハーレム/はーれむ カテゴリ:場所-施設
      7 ドラゴン	名詞,普通名詞,*,*,ドラゴン,ドラゴン,自動獲得:Wikipedia Wikipedia上位語:生物
      7 ゼロ	名詞,数詞,*,*,ゼロ,ぜろ,カテゴリ:数量
      7 サラリーマン	名詞,普通名詞,*,*,サラリーマン,さらりーまん,代表表記:サラリーマン/さらりーまん カテゴリ:人 ドメイン:ビジネス
      7 オブ	名詞,人名,*,*,*,*,*
      7 よる	動詞,*,子音動詞ラ行,基本形,よる,よる,代表表記:因る/よる
      7 ようこそ	副詞,*,*,*,ようこそ,ようこそ,代表表記:ようこそ/ようこそ
      7 や	助詞,接続助詞,*,*,や,や,*
      7 なく	接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本連用形,ない,なく,代表表記:ない/ない
      7 で	判定詞,*,判定詞,ダ列タ系連用テ形,だ,で,*
      7 た	接尾辞,動詞性接尾辞,母音動詞,タ形,る,た,代表表記:る/る
      7 す	動詞,*,サ変動詞,文語基本形,する,す,代表表記:する/する 付属動詞候補（基本） 自他動詞:自:成る/なる
      7 これ	指示詞,名詞形態指示詞,*,*,これ,これ,*
      7 く	名詞,普通名詞,*,*,く,く,代表表記:区/く 漢字読み:音 住所末尾 カテゴリ:組織・団体;場所-その他
      7 か	助詞,終助詞,*,*,か,か,*
      7 いつの間にか	副詞,*,*,*,いつの間にか,いつのまにか,代表表記:何時の間にか/いつのまにか
      7 ☆	特殊,記号,*,*,*,*,*
      7 ×	特殊,記号,*,*,×,×,*
      7 ：	特殊,記号,*,*,：,：,*
      7 A	名詞,組織名,*,*,*,*,*
      7 !!	特殊,記号,*,*,*,*,*
      6 恋愛	名詞,サ変名詞,*,*,恋愛,れんあい,代表表記:恋愛/れんあい カテゴリ:抽象物 ドメイン:家庭・暮らし
      6 夜	名詞,時相名詞,*,*,夜,よ,代表表記:夜/よ 漢字読み:訓 カテゴリ:時間
      6 貰った	動詞,*,子音動詞ワ行,タ形,貰う,もらった,代表表記:貰う/もらう 付属動詞候補（タ系）
      6 命	名詞,普通名詞,*,*,命,いのち,代表表記:命/いのち 漢字読み:訓 カテゴリ:抽象物 ドメイン:健康・医学;家庭・暮らし
      6 変態	名詞,普通名詞,*,*,変態,へんたい,代表表記:変態/へんたい カテゴリ:抽象物
      6 変身	名詞,サ変名詞,*,*,変身,へんしん,代表表記:変身/へんしん カテゴリ:抽象物
      6 刀	名詞,普通名詞,*,*,刀,かたな,代表表記:刀/かたな 漢字読み:訓 カテゴリ:人工物-その他
      6 都市	名詞,普通名詞,*,*,都市,とし,代表表記:都市/とし カテゴリ:場所-その他
      6 田舎	名詞,普通名詞,*,*,田舎,いなか,代表表記:田舎/いなか カテゴリ:場所-その他
      6 底辺	名詞,普通名詞,*,*,底辺,ていへん,代表表記:底辺/ていへん カテゴリ:形・模様
      6 知ら	動詞,*,子音動詞ラ行,未然形,知る,しら,代表表記:知る/しる 補文ト 自他動詞:自:知れる/しれる
      6 短編	名詞,普通名詞,*,*,短編,たんぺん,代表表記:短編/たんぺん カテゴリ:抽象物 ドメイン:文化・芸術
      6 誰	名詞,普通名詞,*,*,誰,だれ,代表表記:誰/だれ カテゴリ:人
      6 代	接尾辞,名詞性名詞接尾辞,*,*,代,だい,代表表記:代/だい 内容語 カテゴリ:人工物-金銭:数量 同義:名詞:代金/だいきん
      6 体	名詞,普通名詞,*,*,体,からだ,代表表記:体/からだ 漢字読み:訓 カテゴリ:動物
      6 全部	副詞,*,*,*,全部,ぜんぶ,代表表記:全部/ぜんぶ
      6 上がり	動詞,*,子音動詞ラ行,基本連用形,上がる,あがり,代表表記:上がる/あがる 付属動詞候補（基本） 自他動詞:他:上げる/あげる 反義:動詞:下りる/おりる;動詞:降りる/おりる;動詞:降る/ふる
      6 拾い	動詞,*,子音動詞ワ行,基本連用形,拾う,ひろい,代表表記:拾う/ひろう 反義:動詞:捨てる/すてる
      6 実は	副詞,*,*,*,実は,じつは,代表表記:実は/じつは
      6 失敗	名詞,サ変名詞,*,*,失敗,しっぱい,代表表記:失敗/しっぱい カテゴリ:抽象物 反義:名詞-サ変名詞:成功/せいこう
      6 持つ	動詞,*,子音動詞タ行,基本形,持つ,もつ,代表表記:持つ/もつ
      6 持って	動詞,*,子音動詞タ行,タ系連用テ形,持つ,もって,代表表記:持つ/もつ
      6 事	名詞,普通名詞,*,*,事,こと,代表表記:事/こと 漢字読み:訓 カテゴリ:抽象物
      6 始める	動詞,*,母音動詞,基本形,始める,はじめる,代表表記:始める/はじめる 付属動詞候補（基本） 自他動詞:自:始まる/はじまる 反義:動詞:終える/おえる
      6 魂	名詞,普通名詞,*,*,魂,たましい,代表表記:魂/たましい 漢字読み:訓 カテゴリ:抽象物 ドメイン:文化・芸術
      6 高	接頭辞,名詞接頭辞,*,*,高,こう,代表表記:高/こう 内容語 換言:+N:Nが高い;+N:Nが良い
      6 攻略	名詞,サ変名詞,*,*,攻略,こうりゃく,代表表記:攻略/こうりゃく カテゴリ:抽象物
      6 公爵	名詞,普通名詞,*,*,公爵,こうしゃく,代表表記:公爵/こうしゃく 人名末尾 カテゴリ:人 ドメイン:政治
      6 御	接頭辞,名詞接頭辞,*,*,御,ご,代表表記:御/お
      6 狐	名詞,普通名詞,*,*,狐,きつね,代表表記:狐/きつね カテゴリ:動物
      6 拳	名詞,普通名詞,*,*,拳,けん,代表表記:拳/けん カテゴリ:動物-部位
      6 血	名詞,普通名詞,*,*,血,ち,代表表記:血/ち 漢字読み:訓 カテゴリ:自然物 ドメイン:健康・医学
      6 結婚	名詞,サ変名詞,*,*,結婚,けっこん,代表表記:結婚/けっこん カテゴリ:抽象物 ドメイン:家庭・暮らし 反義:名詞-サ変名詞:離婚/りこん
      6 級	接尾辞,名詞性名詞接尾辞,*,*,級,きゅう,代表表記:級/きゅう
      6 希望	名詞,サ変名詞,*,*,希望,きぼう,代表表記:希望/きぼう 補文ト カテゴリ:抽象物
      6 勘違い	名詞,サ変名詞,*,*,勘違い,かんちがい,代表表記:勘違い/かんちがい カテゴリ:抽象物
      6 過去	名詞,普通名詞,*,*,過去,かこ,代表表記:過去/かこ カテゴリ:時間
      6 夏	名詞,時相名詞,*,*,夏,か,代表表記:夏/か 漢字読み:音 カテゴリ:時間
      6 王女	名詞,普通名詞,*,*,王女,おうじょ,代表表記:王女/おうじょ カテゴリ:人 ドメイン:政治
      6 陰	名詞,普通名詞,*,*,陰,かげ,代表表記:陰/かげ 漢字読み:訓 修飾（デ格） カテゴリ:抽象物
      6 モブ	名詞,普通名詞,*,*,*,*,*
      6 スローライフ	名詞,普通名詞,*,*,スローライフ,スローライフ,自動獲得:Wikipedia Wikipedia上位語:生活様式
      6 スキル	名詞,人名,*,*,*,*,*
      6 エルフ	名詞,普通名詞,*,*,*,*,*
      6 イケメン	名詞,普通名詞,*,*,イケメン,イケメン,自動獲得:Wikipedia Wikipedia上位語:俗語/ぞくご
      6 んです	助動詞,*,ナ形容詞,デス列基本形,んだ,んです,*
      6 られ	接尾辞,動詞性接尾辞,母音動詞,基本連用形,られる,られ,代表表記:られる/られる
      6 のです	助動詞,*,ナ形容詞,デス列基本形,のだ,のです,*
      6 の	判定詞,*,判定詞,ダ列特殊連体形,だ,の,*
      6 なんて	助詞,副助詞,*,*,なんて,なんて,*
      6 なり	接尾辞,動詞性接尾辞,子音動詞ラ行,基本連用形,なる,なり,代表表記:なる/なる
      6 なって	接尾辞,動詞性接尾辞,子音動詞ラ行,タ系連用テ形,なる,なって,代表表記:なる/なる
      6 なかった	接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,タ形,ない,なかった,代表表記:ない/ない
      6 である	判定詞,*,判定詞,デアル列基本形,だ,である,*
